Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Cámara de Comerciantes, Industriales, Profesionales y de Servicios de Virrey del Pino;CACIP;00/00/0000;NO;SI;SI;SI;Vencida;30/9/2023;Ramón Alberto González;30/9/2023;30708958405;OK;;;Buenos Aires;Virrey Del Pino; Juan Manuel de Rosas 23024 (CP 1763) VIRREY DEL PINO, Buenos Aires  
Cámara de Comerciantes, Profesionales e Industriales de Los Polvorines;;24/10/2001;NO;NO;NO;NO;Vencida;1/1/2021;Jorge Luis Horta;1/1/2021;30688685636;BAJA DE OFICIO;;;Buenos Aires;; Gral. Savio 3406 (CP 1613) Buenos Aires  
Cámara de Comerciantes, Profesionales y Emprendedores de la Avenida Santa Fe;CASAFE;16/5/2018;NO;SI;SI;SI;Vencida;13/8/2019;Horacio Ernesto Del Burgo;13/8/2019;30590171146;BAJA DE OFICIO;;;CABA;; FRAGA 1209 1 (CP 1427) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio Argentino Paraguaya;CCARPA;6/10/2016;NO;SI;SI;SI;Vencida;29/11/2020;Leonardo Marcilio;29/11/2020;30529994601;OK;;;CABA;; VIAMONTE 1355 4 c (CP 1053) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio Binacional Argentino Peruana;CAMBIARPE;11/3/2014;NO;SI;SI;SI;Vencida;31/12/2021;Isaac Edgardo Cánepa;19/12/2022;30711342830;BAJA DE OFICIO;;;CABA;; RECONQUISTA 1088 9 (CP 1003) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio de Beccar;;1/3/2000;NO;NO;NO;NO;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30612232799;BAJA DE OFICIO;;;Buenos Aires;Beccar; AVENIDA CENTENARIO 1891 (CP 1643) BECCAR, Buenos Aires  
Cámara de Comercio de Córdoba;CAMCOMCBA;8/6/2001;NO;NO;SI;NO;Vigente;30/8/2025;José Ignacio Viale;30/8/2025;30525891573;OK;;;Córdoba;Cordoba; AVENIDA GENERAL PAZ 79 2 (CP 5000) CORDOBA, Córdoba  
Cámara de Comercio de Pocito Asociación Civil;CCPAC;20/2/2019;NO;SI;SI;SI;Vencida;7/3/2020;Carlos Fernandez;7/3/2020;30716090171;BAJA DE OFICIO;;;San Juan;Pocito-aberastain; AV.ABERASTAIN 71 (CP 5427) POCITO-ABERASTAIN, San Juan  
Cámara de Comercio de San Juan;CCSJ;5/6/1996;NO;SI;SI;SI;Vigente;23/7/2026;Hermes Eduardo Rodríguez;23/7/2026;30645685667;OK;;;San Juan;San Juan; AVENIDA JOSE IGNACIO DE LA ROZA 270 - Este 2 201 (CP 5400) SAN JUAN, San Juan  
Cámara de Comercio del Calzado y Afines de la República Argentina;CACFA;30/10/2014;Si;SI;SI;SI;Vigente;31/12/2025;Fabián Xavier Castillo;31/12/2025;30716092654;BAJA DE OFICIO;;;CABA;; Av. Magariños Cervantes 1338 (CP 1416) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio del Partido de Quilmes;;29/6/2017;NO;SI;SI;SI;Vigente;16/12/2025;Juan Alberto López;16/12/2025;30572595850;BAJA DE OFICIO;;;Buenos Aires;Quilmes; VIDELA 121 (CP 1878) QUILMES, Buenos Aires  
Cámara de Comercio e Industria de Añatuya;;23/8/1988;NO;NO;NO;NO;Vencida;30/11/2019;Ruben Alcides Bonafede;30/11/2019;30675046197;CONSTANCIA BLOQUEADA;;;Santiago del Estero;Añatuya; AV. ESPAÑA 28 (CP 3760) AÑATUYA, Santiago del Estero  
Cámara de Comercio e Industria de Arrecifes;CCIA;26/9/1981;NO;SI;SI;SI;Vigente;1/4/2025;Gerardo Bacaicoa;1/4/2025;30563533494;OK;;;Buenos Aires;Arrecifes; LAMADRID 154 - 58 (CP 2740) ARRECIFES, Buenos Aires  
Cámara de Comercio e Industria de Balcarce;CCIB;12/12/1981;Si;SI;SI;SI;Vigente;28/10/2024;Marcelo Oscar Garcia;28/10/2024;30564364289;OK;;;Buenos Aires;Balcarce; CALLE 20 696 1 (CP 7620) BALCARCE, Buenos Aires  
Cámara de Comercio e Industria de Berisso;CCIB;24/11/1981;NO;NO;SI;NO;Vencida;28/2/2024;Alejandro Perez Orbanich;28/2/2024;30527180216;OK;;;Buenos Aires;Berisso; CALLE 7 4477 (CP 1923) BERISSO, Buenos Aires  
Cámara de Comercio e Industria de Bernal;;26/11/2009;NO;NO;NO;NO;Vencida;30/9/2018;Verónica M. Nahabedian;30/9/2018;30526714632;BAJA DE OFICIO;;;Buenos Aires;Bernal; Belgrano 337 (CP 1876) BERNAL, Buenos Aires  
Cámara de Comercio e Industria de Burzaco;CCIB;27/9/1991;NO;SI;SI;SI;Vigente;27/10/2025;Maria Antonia Giovenco;27/10/2025;30587710990;OK;;;Buenos Aires;Burzaco; JULIO. A. ROCA 843 (CP 1852) BURZACO, Buenos Aires  
Cámara de Comercio e Industria de Carmen de Areco;CDCEICDA;24/11/1981;NO;NO;NO;NO;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30595561651;BAJA DE OFICIO;;;Buenos Aires;Carmen De Areco; BELGRANO 743 (CP 6725) CARMEN DE ARECO, Buenos Aires  
Cámara de Comercio e Industria de Chacabuco;CCICH;1/7/1956;NO;NO;SI;SI;Vigente;27/5/2026;Héctor Oscar Álvarez;27/5/2025;33526349259;OK;NO;;Buenos Aires;Chacabuco; AVENIDA SAAVEDRA (ESQUINA) 62 (CP 6740) CHACABUCO, Buenos Aires  
Cámara de Comercio e Industria de Coronel Suárez;CCEICS;1/12/1982;NO;SI;SI;SI;Vigente;30/10/2024;Maria de los Milagros Maneiro;30/10/2024;30517940972;OK;;;Buenos Aires;Coronel Suarez; RIVADAVIA 43 (CP 7540) CORONEL SUAREZ, Buenos Aires  
Cámara de Comercio e Industria de Dolores;CIC;00/00/0000;NO;NO;SI;NO;Vigente;1/4/2025;Carlos González;1/4/2025;30580934257;OK;;;Buenos Aires;Dolores; J. B. ALBERDI 375 (CP 7100) DOLORES, Buenos Aires  
Cámara de Comercio e Industria de Eldorado;C.A.C.I.EL;7/4/2011;NO;SI;SI;SI;Vigente;31/12/2024;Alfredo Ramon Otto;31/12/2024;30659786946;OK;;;Misiones;Eldorado; JUJUY 1837 (CP 3380) ELDORADO, Misiones  
Cámara de Comercio e Industria de Frías;CCIF;3/4/2000;NO;SI;SI;SI;Vigente;1/4/2025;Tamara Lilian Schamun;16/3/2025;30686699516;OK;;;Santiago del Estero;Frias; CARLOS MONTI 230 (CP 4230) FRIAS, Santiago del Estero  
Cámara de Comercio e Industria de La Plata;CCILP;00/00/0000;Si;SI;SI;SI;Vigente;31/7/2025;Federico Melia;31/7/2025;30528992729;OK;;;Buenos Aires;La Plata; CALLE 53 720 (CP 1900) LA PLATA, Buenos Aires  
Cámara de Comercio e Industria de la Provincia de Salta;CCEIPS;00/00/0000;SI;SI;SI;SI;Vigente;30/4/2025;Gustavo Adolfo Herrera;30/4/2026;30530819805;OK;;;Salta;Salta; ESPAÑA 339 (CP 4400) SALTA, Salta  
Cámara de Comercio e Industria de Laprida;;4/6/1990;NO;NO;NO;NO;Vencida;1/1/2021;Lorenzo Oscar Cordero;1/1/2021;30626794226;BAJA DE OFICIO;;;Buenos Aires;Laprida; AVENIDA PEDRO PEREYRA 1233 Loc. 3 (CP 7414) LAPRIDA, Buenos Aires  
Cámara de Comercio e Industria de Lobos;CCIL;17/11/2016;NO;SI;SI;SI;Vencida;30/6/2021;Sebastián Broda;31/3/2023;30607305818;OK;;;Buenos Aires;Lobos; Hiriart 69 (CP 7240) LOBOS, Buenos Aires  
Cámara de Comercio e Industria de Longchamps;;16/12/1992;NO;SI;NO;NO;Vencida;30/12/2018;Néstor Horacio Campos;30/12/2018;30711076502;BAJA DE OFICIO;;;Buenos Aires;Longchamps; EMILIO BURGWARDT 1030 (CP 1854) LONGCHAMPS, Buenos Aires  
Cámara de Comercio e Industria de Posadas;CCIP;14/11/1988;NO;NO;SI;SI;Vencida;31/12/2020;Sergio Gustavo Guelman;1/12/2023;30530480484;OK;;;Misiones;Posadas; TUCUM 1807 (CP 3300) POSADAS, Misiones  
Cámara de Comercio e Industria de Río Colorado;CCI;15/9/2011;NO;SI;SI;SI;Vigente;1/4/2025;Lorena Gladys Chasco;1/4/2025;30600619086;OK;;;Río Negro;Rio Colorado; Republica Española 83 (CP 8138) RIO COLORADO, Río Negro  
Cámara de Comercio e Industria de Santiago del Estero;CCISGO;19/07/2017;Si;SI;SI;SI;Vigente;9/5/2021;Rubén Jorge;31/12/2024;33675051939;OK;;;Santiago del Estero;Santiago Del Estero; AVENIDA GENERAL ROCA SUR 678 (CP 4200) SANTIAGO DEL ESTERO, Santiago del Estero  
Cámara de Comercio e Industria de Trenque Lauquen;CCITL;3/11/1983;NO;NO;SI;SI;Vencida;31/12/2019;Maria Susana Abalo;30/12/2023;30590192267;OK;;;Buenos Aires;Trenque Lauquen; AVENIDA VILLEGAS 150 (CP 6400) TRENQUE LAUQUEN, Buenos Aires  
Cámara de Comercio e Industria de Virreyes;CCV;24/9/2009;NO;NO;NO;NO;Vencida;30/6/2018;Facundo Venencio;30/6/2018;30688595343;BAJA DE OFICIO;;;Buenos Aires;San Fernando; FRENCH 2153 (CP 1646) SAN FERNANDO, Buenos Aires  
Cámara de Comercio e Industria del Partido de San Isidro;CCIPSI;30/11/2001;Si;SI;SI;SI;Vigente;12/6/2025;Julio De Posada;12/6/2025;30529028977;OK;;;Buenos Aires;San Isidro; BELGRANO 262 (CP 1643) SAN ISIDRO, Buenos Aires  
Cámara de Comercio e Industria del Partido de San Miguel;CCISM;02/07/2008;Si;SI;SI;SI;Vigente;29/10/2023;Sergio Alberto Sforza;24/10/2024;30527341201;OK;;;Buenos Aires;San Miguel; SARMIENTO 1663 1 (CP 1663) SAN MIGUEL, Buenos Aires  
Cámara de Comercio e Industria Ensenada;CCEIEDA;18/6/2015;NO;SI;SI;SI;Vencida;30/7/2019;Luis Alberto Blasetti;30/7/2019;30545176714;OK;;;Buenos Aires;Ensenada; LA MERCED 473 (CP 1925) ENSENADA, Buenos Aires  
Cámara de Comercio Exterior de Misiones;CACEXMI;22/1/2015;NO;SI;SI;SI;Vigente;30/4/2025;Sebastian Carratini;30/04/2025;30639454416;BAJA DE OFICIO;;;Misiones;Posadas; SARMIENTO 2183 1 B (CP 3300) POSADAS, Misiones  
Cámara de Comercio Exterior de Rosario;CCER;5/8/2020;Si;SI;SI;SI;Vencida;28/4/2024;Sergio Rodríguez;28/4/2024;33516255159;OK;;;Santa Fe;Rosario; Cordoba 1868 1 114/5 (CP 2000) ROSARIO, Santa Fe  
Cámara de Comercio Exterior de Salta;CAMCOMEXSALTA;13/2/2014;NO;SI;NO;SI;Vencida;30/12/2023;Ricardo Javier Cerúsico;30/12/2023;30559241993;CONSTANCIA BLOQUEADA;;;Salta;Salta; Alvarado 51 (CP 4400) SALTA, Salta  
Cámara de Comercio Exterior de San Juan;CACEX;10/11/2011;NO;SI;SI;SI;Vigente;14/12/2023;Antonio S. Gimenez;12/4/2025;30673265908;OK;;;San Juan;San Juan; Caseros (Sur) 126 (CP 5402) SAN JUAN, San Juan  
Cámara de Comercio Exterior del Chaco;COMEXCHACO;11/5/2009;Si;SI;SI;SI;Vigente;30/12/2024;Matías Alfredo Brugnoli;30/12/2024;30670197022;OK;;;Chaco;Resistencia; JUAN DOMINGO PERON 111 2? (CP 3500) RESISTENCIA, Chaco  
Cámara de Comercio Exterior del Norte Santafesino;CCENS;19/2/2009;NO;SI;SI;SI;Vencida;30/11/2023;Natalia Ludueña;30/11/2023;30674409660;OK;;;Santa Fe;Reconquista; BELGRANO 1025 (CP 3560) RECONQUISTA, Santa Fe  
Cámara de Comercio Industria y Turismo San Martín de los Andes;CCIYT;21/12/2020;NO;SI;SI;SI;Vigente;24/4/2026;Lucas Mantaras;24/4/2026;30627900356;OK;;;Neuquén;San Martin De Los Andes; SAN MARTIN AVENIDA 1344 PB. 5 y 6 (CP 8370) SAN MARTIN DE LOS ANDES, Neuquén  
Cámara de Comercio Industria, Producción y Servicios de Charata;C.C.Ch;31/10/2018;Si;SI;SI;SI;Vencida;30/4/2023;Juan Diego Zabala;30/4/2023;30656780750;OK;;;Chaco;Charata; CHACABUCO 235 (CP 3730) CHARATA, Chaco  
Cámara de Comercio Italiana de San Luis;CCISL;14/6/2012;NO;SI;NO;SI;Vencida;11/2/2016;Jorge Luis D´Odorico;11/2/2016;30714936103;CONSTANCIA BLOQUEADA;;;San Luis;Villa Mercedes; Belgrano 160 (CP 5730) VILLA MERCEDES, San Luis  
Cámara de Comercio Italiana en la República Argentina;CCI baires;4/10/2012;NO;SI;SI;SI;Vencida;16/5/2024;Giorgio Alliata Di Montereale;16/5/2024;30527573986;OK;;;CABA;; MARCELO T. DE ALVEAR 1119 2 (CP 1058) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio y Afines de Chimbas Asociación Civil;CCC;30/11/2017;NO;SI;SI;SI;Vencida;31/3/2020;Marcelo Orlando Rosas;31/3/2020;30715781804;CONSTANCIA BLOQUEADA;;;San Juan;Chimbas; MENDOZA 1888 (CP 5413) CHIMBAS, San Juan  
Cámara de Comercio y Afines de General Pico;CCyA;21/4/2005;NO;SI;SI;SI;Vigente;31/7/2023;Eduardo Adrian Ginart;31/7/2024;30671618781;OK;;;La Pampa;General Pico; CALLE 5 ESQ. 16 689 (CP 6360) GENERAL PICO, La Pampa  
Cámara de Comercio y Afines de la Ciudad de Villa Mercedes;COEFIN;00/00/0000;NO;NO;SI;SI;Vencida;31/12/2016;Dominguez maría (Secretaria);31/12/2016;30517885246;OK;;;San Luis;Villa Mercedes; SUIPACHA 294 (CP 5730) VILLA MERCEDES, San Luis  
Cámara de Comercio y otras Actividades Empresarias de Ushuaia;CCAE;00/00/0000;Si;SI;SI;SI;Vigente;30/11/2025;Claudia Patricia Fernandez;30/11/2025;30675760701;OK;;;Tierra del Fuego;Ushuaia; LEOPOLDO LUGONES 1781 (CP 9410) USHUAIA, Tierra del Fuego  
Cámara de Comercio y Servicios de la Villa de Merlo;;12/4/2018;NO;SI;NO;SI;Vencida;31/12/2019;Flavio D´angelo;31/12/2019;30708139242;BAJA DE OFICIO;;;San Luis;Merlo; Los almendros 318 (CP 5881) MERLO, San Luis  
Cámara de Comercio, Agropecuaria, Industria, Profesionales y Servicios de Mariano Acosta;CAIPSMA;19/4/2004;NO;NO;SI;NO;Vencida;31/12/2016;Verón Victor (Secretario);31/12/2016;30679240087;CONSTANCIA BLOQUEADA;;;Buenos Aires;Agustin Ferrari; Constituyentes 610 (CP 1723) AGUSTIN FERRARI, Buenos Aires  
Cámara de Comercio, Indumentaria y Afines de Mendoza;CAMI;30/3/1988;NO;NO;NO;NO;Vencida;30/12/2018;Adolfo Antonio Trípodi;30/12/2018;0;SIN CUIT;SI;30/03/1988;Mendoza;Mendoza; PEDRO VARGAS 632 (CP 5500) MENDOZA, Mendoza  
Cámara de Comercio, Industria y Actividades Afines de Gobernador Virasoro;CCIAA;14/7/2011;NO;SI;SI;SI;Vigente;23/12/2023;Fabián Zajaczkowski;14/12/2024;30672376277;OK;;;Corrientes;Gobernador Ingeniero Valentin Virasoro; Manuel Ocampo y Lisandro de la Torre s/n (CP 3342) GOBERNADOR INGENIERO VALENTIN VIRASORO, Corrientes  
Cámara de Comercio, Industria y Afines de Río Gallegos;CCIARG;00/00/0000;SI;SI;SI;SI;Vigente;1/12/2025;Cristina Aranda;1/12/2025;30532069986;OK;;;Santa Cruz;Rio Gallegos; 9 DE JULIO 32 (CP 9400) RIO GALLEGOS, Santa Cruz  
Cámara de Comercio, Industria y Agricultura de Catriel y Peñas Blancas;CCIA;2/12/2011;NO;SI;NO;SI;Vencida;30/6/2019;Jorge Adrián Otero;30/6/2019;30658141631;BAJA DE OFICIO;;;Río Negro;Catriel; AVENIDA ARGENTINA Y GENERAL MOSCONI 290 (CP 8307) CATRIEL, Río Negro  
Cámara de Comercio, Industria y Agricultura de General San Martín;;3/1/1990;NO;NO;SI;NO;Vigente;10/12/2023;Ruben Lisante;31/10/2024;30522236957;OK;;;Mendoza;General San Martin; CENTRO COMERCIAL ECHESORTO Y CASAS - Pasaje 5 Local 73 (CP 5570) GENERAL SAN MARTIN, Mendoza  
Cámara de Comercio, Industria y Agricultura de Tunuyán;CIAT;00/00/0000;Si;SI;SI;SI;Vigente;30/6/2026;Juan Roth;30/6/2026;33630200909;OK;;;Mendoza;Tunuyan; HIP 745 (CP 5560) TUNUYAN, Mendoza  
Cámara de Comercio, Industria y Agropecuaria de San Rafael;CCIA;22/8/2017;NO;SI;SI;SI;Vencida;6/8/2024;Hugo Tornaghi;1/5/2024;30526896595;OK;;;Mendoza;San Rafael; AVENIDA LIBERTADOR 78 (CP 5600) SAN RAFAEL, Mendoza  
Cámara de Comercio, Industria y Prestadores de Servicios de City Bell;CCICB;26/5/2011;NO;SI;SI;SI;Vigente;1/1/2021;Nicolas Alfredo Alvarez;1/9/2024;30712048626;BAJA DE OFICIO;;;Buenos Aires;La Plata; Calle 13b (entre 471 y 472) 1896 (CP ) LA PLATA, Buenos Aires  
Cámara de Comercio, Industria y Producción de Valle Medio;CCIPVM;10/7/2008;NO;SI;SI;NO;Vigente;26/7/2026;Mariano Katz;26/7/2026;30632275214;OK;;;Río Negro;Choele Choel; AVENIDA SAN MART 1045 (CP 8360) CHOELE CHOEL, Río Negro  
Cámara de Comercio, Industria y Producción de 25 de Mayo;CCIP;6/8/1982;NO;NO;SI;NO;Vigente;22/3/2025;Jorge Luis Serrano;30/8/2024;30527164148;OK;;;Buenos Aires;25 De Mayo; CALLE 27 - ENTRE 10 Y 11 - 929 (CP 6660) 25 DE MAYO, Buenos Aires  
Cámara de Comercio, Industria y Producción de Ayacucho;CACIPA;26/11/1981;NO;SI;SI;NO;Vigente;30/11/2024;Alejandro Eloy Cabello;30/11/2025;33652124939;OK;;;Buenos Aires;Ayacucho; ESPAÑA 1126 (CP 7150) AYACUCHO, Buenos Aires  
Cámara de Comercio, Industria y Producción de Brandsen;;28/11/1988;NO;NO;SI;NO;Vigente;30/9/2026;Juan Manuel Lopez;30/9/2026;30588879107;OK;;;Buenos Aires;Coronel Brandsen; MITRE 319 (CP 1980) CORONEL BRANDSEN, Buenos Aires  
Cámara de Comercio, Industria y Producción de Chos Malal;;27/6/2018;NO;SI;SI;SI;Vencida;8/5/2023;José Luis Pozo;8/5/2023;30672599535;OK;;;Neuquén;Chos Malal; Jorge Newbery 690 (CP 8353) CHOS MALAL, Neuquén  
Cámara de Comercio, Industria y Producción de Comodoro Rivadavia y Rada Tilly;CACIPCR;20/8/2009;Si;SI;SI;SI;Vigente;30/12/2024;Sebastian Aguirre;30/12/2024;30587236563;OK;;;Chubut;Comodoro Rivadavia; AVENIDA RIVADAVIA 452 (CP 9000) COMODORO RIVADAVIA, Chubut  
Cámara de Comercio, Industria y Producción de Hermoso Campo;CCIP HERMOSO CAMPO;20/5/2009;Si;SI;SI;SI;Vigente;10/12/2024;Héctor Fabricio Simoncini;10/12/2025;30696737793;OK;;;Chaco;Hermoso Campo; Av. 1º de Mayo 223 (CP 3733) HERMOSO CAMPO, Chaco  
Cámara de Comercio, Industria y Producción de Juan Bautista Alberdi;CCIPA;10/3/2011;NO;NO;NO;NO;Vencida;30/12/2018;Ema Dole Auil;30/12/2018;30711840849;BAJA DE OFICIO;;;Tucumán;Juan Bautista Alberdi; 9 de julio 435 (CP 4158) Tucumán  
Cámara de Comercio, Industria y Producción de La Pampa;CACIP LA PAMPA;10/5/2001;Si;SI;SI;SI;Vigente;31/12/2024;Graciela Bejar;31/12/2024;30531008940;OK;;;La Pampa;Santa Rosa; HILARIO LAGOS 54 Planta Alta (CP 6300) SANTA ROSA, La Pampa  
Cámara de Comercio, Industria y Producción de La Quiaca;;23/7/2008;NO;NO;NO;NO;Vencida;30/12/2021;Raúl Manuel Burgos Prieto;30/12/2021;0;SIN CUIT;SI;23/07/2008;Jujuy;La Cienaga (la Quiaca - Dpto. Yavi); AVENIDA LAMADRID 344 - 346 (CP 4650) LA CIENAGA (LA QUIACA - DPTO. YAVI), Jujuy  
Cámara de Comercio, Industria y Producción de la República Argentina;CACIPRA;18/5/2004;Si;NO;SI;NO;Vigente;31/12/2024;Rodrigo Gilberto Muñoz Galaz;31/12/2024;30528756502;OK;;;CABA;; FLORIDA 1-15 Piso 4 (CP 1005) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio, Industria y Producción de Luján de Cuyo;;3/11/1989;NO;NO;SI;SI;Vencida;30/4/2020;Diego Fernando Tahan;30/10/2020;30518323373;OK;;;Mendoza;Lujan De Cuyo; SAN MARTIN 1028 (CP 5507) LUJAN DE CUYO, Mendoza  
Cámara de Comercio, Industria y Producción de Machagai;CCIPM;20/5/2009;NO;SI;SI;SI;Vigente;31/10/2024;Luciano Humberto Rivero;31/10/2025;30654508913;OK;;;Chaco;Machagai; CORDOBA 57 (CP 3534) MACHAGAI, Chaco  
Cámara de Comercio, Industria y Producción de Metán;;18/9/2009;NO;NO;SI;NO;Vencida;31/12/2019;Leonardo Enrique Herrando;10/9/2023;30621831239;OK;;;Salta;Metan; PUEYRREDON 6 (CP 4440) METAN, Salta  
Cámara de Comercio, Industria y Producción de Pehuajó;CCIPP;13/11/1995;NO;SI;SI;SI;Vigente;1/10/2024;Daniel Reus;1/10/2024;33528084309;OK;;;Buenos Aires;Pehuajo; HIPOLITO YRIGOYEN 635 (CP 6450) PEHUAJO, Buenos Aires  
Cámara de Comercio, Industria y Producción de Pico Truncado;CCIPPT;8/10/2009;NO;NO;NO;NO;Vencida;30/1/2019;Diego Bertolaza;30/1/2019;30630193318;BAJA DE OFICIO;;;Santa Cruz;Pico Truncado; SARMIENTO 834 (CP 9015) PICO TRUNCADO, Santa Cruz  
Cámara de Comercio, Industria y Producción de Resistencia;;21/4/2005;Si;SI;SI;SI;Vigente;31/12/2025;Walter Daniel Bistman;31/12/2025;30531923010;OK;;;Chaco;Resistencia; PEATONAL JUAN DOMINGO PERON 111 1 (CP 3500) RESISTENCIA, Chaco  
Cámara de Comercio, Industria y Producción de Río Grande;CCIP;00/00/0000;NO;SI;SI;SI;Vigente;30/8/2025;José Luis Iglesias;30/8/2025;30659260758;OK;;;Tierra del Fuego;Río Grande;AVENIDA SAN  MARTIN 627 (CP 9420), RÍO GRANDE, TIERRA DEL FUEGO
Cámara de Comercio, Industria y Producción de Saladillo;CCIP;26/3/1982;NO;NO;SI;NO;Vigente;30/12/2019;Julian Rodriguez;30/11/2024;30667543742;OK;;;Buenos Aires;Saladillo; AVENIDA SAN MARTIN 3251 (CP 7260) SALADILLO, Buenos Aires  
Cámara de Comercio, Industria y Producción de San Luis;CCIPSL;1/10/1984;Si;SI;SI;SI;Vigente;24/11/2024;Emmanuel Leandro López de Filippo;25/11/2024;30711117381;OK;;;San Luis;San Luis; JUNIN 728 (CP 5700) SAN LUIS, San Luis  
Cámara de Comercio, Industria y Producción de Villa Ángela y Pueblos Circunvecinos;CCVA;20/10/2011;Si;SI;SI;SI;Vigente;30/6/2025;Luis Miguel Fernandez;15/10/2025;30633972113;OK;;;Chaco;Villa Angela; URUGUAY 171 (CP 3540) VILLA ANGELA, Chaco  
Cámara de Comercio, Industria y Producción de Villa Regina;;22/6/1984;NO;SI;SI;SI;Vigente;30/11/2025;walter Fiore;30/11/2025;30623385309;OK;;;Río Negro;Villa Regina; RECONQUISTA 54 (CP 8336) VILLA REGINA, Río Negro  
Cámara de Comercio, Industria y Producción de Zapala;CCl y PZ;5/11/2008;NO;SI;SI;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30601457144;BAJA DE OFICIO;;;Neuquén;Zapala; AVENIDA AVELLANEDA 1267 (CP 8340) ZAPALA, Neuquén  
Cámara de Comercio, Industria y Producción del Departamento O´Higgins;;28/5/2009;NO;SI;SI;SI;Vencida;31/8/2019;Daniel Osvaldo Landriel;31/8/2019;30670113023;OK;;;Chaco;San Bernardo; 25 de Mayo 437 (CP 3726) SAN BERNARDO, Chaco  
Camara de comercio, Industria y Producción del valle de sarmiento;;19/11/2020;NO;SI;SI;SI;Vigente;22/9/2025;Juan Carlos Gonzalez Lema;22/9/2025;30707183922;OK;;;Chubut;Sarmiento; Perito Moreno 345 (CP ) SARMIENTO, Chubut  
Cámara de Comercio, Industria y Profesionales de la Ciudad de Don Torcuato;CCIP;4/7/2013;NO;SI;SI;NO;Vencida;13/5/2021;Mónica Susana Padua;13/5/2021;30712193502;OK;;;Buenos Aires;Don Torcuato; Av. A. T. de Alvear 465 1 (CP 1611) DON TORCUATO, Buenos Aires  
Cámara de Comercio, Industria y Servicios de Caleta Olivia;C.C.I.P.S.C.O.;20/2/1996;Si;SI;SI;SI;Vigente;17/12/2023;Miriam Teresa Giorgia;17/12/2024;30623940396;OK;;;Santa Cruz;Caleta Olivia; LISANDRO DE LA TORRE 117 (CP 9011) CALETA OLIVIA, Santa Cruz  
Cámara de Comercio, Industria y Servicios de Eduardo Castex - La Pampa;;00/00/0000;NO;SI;SI;NO;Vigente;31/12/2023;Pablo H Barreta;31/12/2024;30594265307;OK;;;La Pampa;Eduardo Castex; ESPAÑA 1069 (CP 6380) EDUARDO CASTEX, La Pampa  
Cámara de Comercio, Industria y Servicios de Escobar;CCISE;22/1/1992;NO;NO;SI;NO;Vigente;25/10/2019;Pablo Miguel Sangiuliano;24/10/2025;30591503746;OK;;;Buenos Aires;Escobar; RIVADAVIA 651 (CP 1625) ESCOBAR, Buenos Aires  
Cámara de Comercio, Industria y Servicios de Pergamino;CCIPER;00/00/0000;NO;SI;SI;SI;Vigente;1/7/2026;Maximiliano Cubino;1/7/2026;30527278763;OK;;;Buenos Aires;Pergamino; san nicolas 880 (CP 2700) PERGAMINO, Buenos Aires  
Cámara de Comercio, Industria y Servicios de San Lorenzo y su Zona;;00/00/0000;NO;NO;SI;NO;Vigente;31/12/2020;Mariano Brajkovic;20/6/2025;30659729314;OK;;;Santa Fe;San Lorenzo; FALUCHO 570 (CP 2200) SAN LORENZO, Santa Fe  
Cámara de Comercio, Industria y Servicios de Valentín Alsina;CCVA;00/00/0000;NO;SI;SI;NO;Vencida;30/5/2020;Roberto Jorge Abraham;30/5/2023;33624153389;OK;;;Buenos Aires;Valentin Alsina; JEAN JAURES 2200 (CP 1822) VALENTIN ALSINA, Buenos Aires  
Cámara de Comercio, Industria y Turismo de San Vicente;CCIyT MISIONES;22/9/2011;NO;SI;SI;NO;Vigente;1/12/2026;Ana Marisa Da Rosa;1/12/2026;30711788677;OK;;;Misiones;San Vicente; AVENIDA TEJEDA 508 (CP 3364) SAN VICENTE, Misiones  
Cámara de Comercio, Industria, Comercio Exterior y Afines de Puerto Iguazú;CCI;18/10/1988;NO;SI;SI;NO;Vigente;18/12/2024;Rodrigo Antonio Blanco;18/12/2025;33672442929;OK;;;Misiones;Iguazu; AVENIDA VICTORIA AGUIRRE NORTE 354 (CP 3370) IGUAZU, Misiones  
Cámara de Comercio, Industria, Producción y Bienes Raíces de 9 de Julio;;6/6/2003;NO;NO;SI;NO;Vigente;31/3/2026;Diego Baztarrica;31/3/2026;30525955520;OK;;;Buenos Aires;9 De Julio; SAN MARTIN 1223 (CP 6500) 9 DE JULIO, Buenos Aires  
